Date,Price
1992-12-01,100.0
1993-01-01,100.0
1993-02-01,100.0
1993-03-01,100.0
1993-04-01,100.1
1993-05-01,99.1
1993-06-01,99.1
1993-07-01,99.1
1993-08-01,99.1
1993-09-01,99.2
1993-10-01,99.2
1993-11-01,99.2
1993-12-01,99.5
1994-01-01,99.7
1994-02-01,100.0
1994-03-01,100.2
1994-04-01,100.3
1994-05-01,100.6
1994-06-01,101.0
1994-07-01,100.9
1994-08-01,101.3
1994-09-01,101.4
1994-10-01,102.1
1994-11-01,102.9
1994-12-01,102.9
1995-01-01,105.4
1995-02-01,106.4
1995-03-01,106.4
1995-04-01,107.0
1995-05-01,106.4
1995-06-01,106.5
1995-07-01,106.5
1995-08-01,106.2
1995-09-01,106.7
1995-10-01,106.8
1995-11-01,107.6
1995-12-01,108.4
1996-01-01,108.7
1996-02-01,108.8
1996-03-01,109.9
1996-04-01,109.9
1996-05-01,110.6
1996-06-01,110.5
1996-07-01,110.8
1996-08-01,110.5
1996-09-01,110.5
1996-10-01,110.7
1996-11-01,110.7
1996-12-01,110.8
1997-01-01,111.0
1997-02-01,111.4
1997-03-01,111.4
1997-04-01,112.4
1997-05-01,112.4
1997-06-01,112.9
1997-07-01,113.1
1997-08-01,113.1
1997-09-01,113.1
1997-10-01,113.2
1997-11-01,113.2
1997-12-01,113.2
1998-01-01,113.6
1998-02-01,113.6
1998-03-01,113.6
1998-04-01,113.6
1998-05-01,113.6
1998-06-01,113.7
1998-07-01,113.7
1998-08-01,116.4
1998-09-01,116.6
1998-10-01,116.6
1998-11-01,116.6
1998-12-01,116.7
1999-01-01,118.5
1999-02-01,118.5
1999-03-01,118.5
1999-04-01,118.5
1999-05-01,119.0
1999-06-01,119.2
1999-07-01,119.5
1999-08-01,119.5
1999-09-01,119.6
1999-10-01,119.6
1999-11-01,119.6
1999-12-01,119.6
2000-01-01,120.6
2000-02-01,120.9
2000-03-01,122.1
2000-04-01,122.1
2000-05-01,124.4
2000-06-01,124.4
2000-07-01,124.6
2000-08-01,124.6
2000-09-01,124.6
2000-10-01,124.7
2000-11-01,124.8
2000-12-01,124.8
2001-01-01,124.8
2001-02-01,124.8
2001-03-01,124.9
2001-04-01,124.9
2001-05-01,124.9
2001-06-01,124.9
2001-07-01,125.0
2001-08-01,125.7
2001-09-01,126.5
2001-10-01,126.7
2001-11-01,128.1
2001-12-01,128.1
2002-01-01,128.1
2002-02-01,128.1
