Date,Price
2003-12-01,100.0
2004-01-01,99.8
2004-02-01,100.7
2004-03-01,100.9
2004-04-01,101.7
2004-05-01,101.8
2004-06-01,102.8
2004-07-01,103.2
2004-08-01,103.1
2004-09-01,103.4
2004-10-01,104.4
2004-11-01,106.9
2004-12-01,108.6
2005-01-01,111.9
2005-02-01,112.5
2005-03-01,113.0
2005-04-01,112.6
2005-05-01,113.8
2005-06-01,113.4
2005-07-01,111.9
2005-08-01,111.2
2005-09-01,112.5
2005-10-01,119.4
2005-11-01,122.8
2005-12-01,122.9
2006-01-01,124.3
2006-02-01,124.1
2006-03-01,120.2
2006-04-01,119.0
2006-05-01,117.2
2006-06-01,117.1
2006-07-01,117.1
2006-08-01,118.1
2006-09-01,118.9
2006-10-01,119.8
2006-11-01,119.6
2006-12-01,118.6
2007-01-01,117.6
2007-02-01,116.5
2007-03-01,117.2
2007-04-01,117.8
2007-05-01,116.5
2007-06-01,117.5
2007-07-01,118.0
2007-08-01,118.3
2007-09-01,118.3
2007-10-01,119.6
2007-11-01,120.2
2007-12-01,122.5
2008-01-01,122.9
2008-02-01,123.6
2008-03-01,124.2
2008-04-01,125.0
2008-05-01,125.8
2008-06-01,125.6
2008-07-01,129.0
2008-08-01,130.7
2008-09-01,131.3
2008-10-01,131.3
2008-11-01,128.4
2008-12-01,123.7
2009-01-01,120.5
2009-02-01,114.4
2009-03-01,117.4
2009-04-01,117.2
2009-05-01,115.8
2009-06-01,115.0
2009-07-01,111.5
2009-08-01,112.1
2009-09-01,112.8
2009-10-01,111.4
2009-11-01,111.9
2009-12-01,112.0
2010-01-01,112.1
2010-02-01,112.1
2010-03-01,113.5
2010-04-01,116.3
2010-05-01,118.2
2010-06-01,117.8
2010-07-01,117.1
2010-08-01,116.6
2010-09-01,114.7
2010-10-01,114.5
2010-11-01,115.3
2010-12-01,116.7
2011-01-01,119.8
2011-02-01,120.5
2011-03-01,122.0
2011-04-01,125.8
2011-05-01,127.6
2011-06-01,130.0
2011-07-01,130.7
2011-08-01,129.3
2011-09-01,128.6
2011-10-01,128.9
2011-11-01,128.9
2011-12-01,126.5
2012-01-01,128.2
2012-02-01,128.2
2012-03-01,128.6
2012-04-01,131.3
2012-05-01,131.5
2012-06-01,131.0
2012-07-01,128.3
2012-08-01,124.5
2012-09-01,124.7
2012-10-01,128.3
2012-11-01,129.0
2012-12-01,129.8
2013-01-01,129.4
2013-02-01,129.9
2013-03-01,131.6
2013-04-01,132.2
2013-05-01,133.1
2013-06-01,132.4
2013-07-01,131.6
2013-08-01,131.9
2013-09-01,132.0
2013-10-01,132.6
2013-11-01,133.3
2013-12-01,133.1
2014-01-01,132.0
2014-02-01,132.2
2014-03-01,131.5
2014-04-01,132.0
2014-05-01,131.8
2014-06-01,131.7
2014-07-01,128.6
2014-08-01,128.8
2014-09-01,129.0
2014-10-01,129.3
2014-11-01,129.6
2014-12-01,128.8
2015-01-01,127.0
2015-02-01,125.5
2015-03-01,123.8
2015-04-01,121.5
2015-05-01,122.2
2015-06-01,122.4
2015-07-01,122.1
2015-08-01,122.4
2015-09-01,121.5
2015-10-01,120.4
2015-11-01,119.7
2015-12-01,119.3
2016-01-01,117.7
2016-02-01,117.6
2016-03-01,117.5
2016-04-01,117.4
2016-05-01,117.4
2016-06-01,118.0
2016-07-01,116.1
2016-08-01,115.3
2016-09-01,115.4
2016-10-01,115.6
2016-11-01,115.8
2016-12-01,116.0
2017-01-01,117.8
2017-02-01,118.2
2017-03-01,118.6
2017-04-01,118.9
2017-05-01,119.6
2017-06-01,119.5
2017-07-01,119.9
2017-08-01,119.6
2017-09-01,119.8
2017-10-01,120.1
2017-11-01,120.8
2017-12-01,121.2
2018-01-01,123.4
2018-02-01,124.4
2018-03-01,124.9
2018-04-01,126.0
2018-05-01,127.1
2018-06-01,128.4
2018-07-01,127.5
2018-08-01,128.4
2018-09-01,129.4
2018-10-01,132.0
2018-11-01,133.3
2018-12-01,132.7
2019-01-01,134.0
2019-02-01,132.8
2019-03-01,132.7
2019-04-01,131.0
2019-05-01,130.5
2019-06-01,131.1
2019-07-01,129.6
2019-08-01,127.7
2019-09-01,127.6
2019-10-01,126.9
2019-11-01,126.7
2019-12-01,126.0
2020-01-01,125.5
2020-02-01,125.2
2020-03-01,125.0
2020-04-01,124.7
2020-05-01,124.0
2020-06-01,123.8
2020-07-01,121.1
2020-08-01,118.8
2020-09-01,119.0
2020-10-01,119.8
2020-11-01,120.2
2020-12-01,120.5
2021-01-01,122.2
2021-02-01,123.1
2021-03-01,124.7
2021-04-01,126.9
2021-05-01,130.5
2021-06-01,132.0
2021-07-01,133.338
2021-08-01,135.8
2021-09-01,136.89
2021-10-01,138.949
2021-11-01,139.986
2021-12-01,139.988
2022-01-01,144.242
2022-02-01,143.867
2022-03-01,143.379
2022-04-01,146.214
2022-05-01,148.002
2022-06-01,151.054
2022-07-01,153.193
2022-08-01,156.979
2022-09-01,156.185
2022-10-01,154.88
2022-11-01,154.597
2022-12-01,154.537
2023-01-01,150.745
2023-02-01,149.027
2023-03-01,149.172
2023-04-01,147.665
2023-05-01,148.552
