Date,Price
2005-12-01,100.0
2006-01-01,100.3
2006-02-01,100.4
2006-03-01,101.4
2006-04-01,102.2
2006-05-01,102.2
2006-06-01,103.2
2006-07-01,103.9
2006-08-01,106.0
2006-09-01,107.6
2006-10-01,107.4
2006-11-01,107.8
2006-12-01,107.8
2007-01-01,107.6
2007-02-01,107.8
2007-03-01,108.6
2007-04-01,108.7
2007-05-01,108.7
2007-06-01,108.7
2007-07-01,109.7
2007-08-01,109.9
2007-09-01,109.6
2007-10-01,110.5
2007-11-01,110.8
2007-12-01,111.2
2008-01-01,111.7
2008-02-01,111.8
2008-03-01,112.2
2008-04-01,112.3
2008-05-01,113.8
2008-06-01,114.4
2008-07-01,116.5
2008-08-01,116.6
2008-09-01,117.2
2008-10-01,118.4
2008-11-01,118.4
2008-12-01,119.0
2009-01-01,121.4
2009-02-01,121.4
2009-03-01,122.2
2009-04-01,121.7
2009-05-01,121.7
2009-06-01,121.7
2009-07-01,121.6
2009-08-01,121.6
2009-09-01,121.6
2009-10-01,121.3
2009-11-01,121.4
2009-12-01,121.5
2010-01-01,123.3
2010-02-01,123.2
2010-03-01,123.6
2010-04-01,123.0
2010-05-01,125.9
2010-06-01,127.0
2010-07-01,127.8
2010-08-01,128.0
2010-09-01,128.4
2010-10-01,129.0
2010-11-01,129.2
2010-12-01,129.5
2011-01-01,133.5
2011-02-01,133.7
2011-03-01,135.0
2011-04-01,139.6
2011-05-01,140.6
2011-06-01,140.9
2011-07-01,144.9
2011-08-01,145.2
2011-09-01,145.6
2011-10-01,148.2
2011-11-01,148.5
2011-12-01,148.4
2012-01-01,153.4
2012-02-01,153.3
2012-03-01,152.7
2012-04-01,152.5
2012-05-01,152.5
2012-06-01,152.3
2012-07-01,151.9
2012-08-01,152.4
2012-09-01,152.5
2012-10-01,152.1
2012-11-01,151.9
2012-12-01,151.7
2013-01-01,148.7
2013-02-01,148.5
2013-03-01,147.8
2013-04-01,146.7
2013-05-01,146.3
2013-06-01,145.2
2013-07-01,143.7
2013-08-01,142.8
2013-09-01,141.1
2013-10-01,140.4
2013-11-01,140.6
2013-12-01,140.7
2014-01-01,138.3
2014-02-01,137.8
2014-03-01,137.5
2014-04-01,137.0
2014-05-01,136.3
2014-06-01,136.0
2014-07-01,132.0
2014-08-01,132.0
2014-09-01,132.2
2014-10-01,132.0
2014-11-01,133.0
2014-12-01,134.2
2015-01-01,130.6
2015-02-01,129.9
2015-03-01,129.7
2015-04-01,129.0
2015-05-01,128.9
2015-06-01,128.7
2015-07-01,127.3
2015-08-01,127.3
2015-09-01,127.4
2015-10-01,127.0
2015-11-01,126.5
2015-12-01,125.8
2016-01-01,125.1
2016-02-01,125.5
2016-03-01,124.2
2016-04-01,123.5
2016-05-01,124.0
2016-06-01,124.2
2016-07-01,126.0
2016-08-01,126.2
2016-09-01,125.9
2016-10-01,125.3
2016-11-01,125.5
2016-12-01,125.4
2017-01-01,125.4
2017-02-01,125.1
2017-03-01,126.5
2017-04-01,128.2
2017-05-01,128.2
2017-06-01,127.3
2017-07-01,125.2
2017-08-01,125.8
2017-09-01,125.9
2017-10-01,125.8
2017-11-01,125.1
2017-12-01,125.1
2018-01-01,124.7
2018-02-01,126.0
2018-03-01,125.8
2018-04-01,127.1
2018-05-01,127.1
2018-06-01,127.1
2018-07-01,126.6
2018-08-01,126.6
2018-09-01,126.4
2018-10-01,126.1
2018-11-01,126.2
2018-12-01,126.0
2019-01-01,125.5
2019-02-01,125.4
2019-03-01,125.4
2019-04-01,125.4
2019-05-01,125.3
2019-06-01,125.6
2019-07-01,124.1
2019-08-01,124.1
2019-09-01,124.2
2019-10-01,125.9
2019-11-01,125.7
2019-12-01,125.3
2020-01-01,125.1
2020-02-01,125.1
2020-03-01,124.9
2020-04-01,124.7
2020-05-01,124.8
2020-06-01,124.5
2020-07-01,124.7
2020-08-01,124.3
2020-09-01,123.6
2020-10-01,123.1
2020-11-01,123.3
2020-12-01,123.3
2021-01-01,122.8
2021-02-01,124.3
2021-03-01,124.1
2021-04-01,123.9
2021-05-01,123.6
2021-06-01,123.6
2021-07-01,125.8
2021-08-01,131.2
2021-09-01,131.4
2021-10-01,131.7
2021-11-01,132.7
2021-12-01,132.8
2022-01-01,133.5
2022-02-01,136.2
2022-03-01,137.4
2022-04-01,142.2
2022-05-01,145.2
2022-06-01,147.1
2022-07-01,148.2
2022-08-01,147.9
2022-09-01,150.1
2022-10-01,150.7
2022-11-01,149.9
2022-12-01,149.8
2023-01-01,151.3
2023-02-01,151.5
2023-03-01,150.6
2023-04-01,152.3
2023-05-01,155.7
