VEND_NAME,ADDR_DC,LN_1_ADR,LN_2_ADR,LN_3_ADR,CITY_NAME,MAIL_STATE_DC,POSTAL_CD,VEND_APPRVL_CD,VEND_GRP_CD,lat,lon
3-D MARKETING,ORD1,16812 EL ZORRO VISTA,MAIL: PO BOX 45, ,RANCHO SANTA FE,CA,92067,A,ELECT,33.01731,-117.19437
321 TEKNIK LLC,ORD1,7 SUPERIOR DR SE, , ,ROME,GA,30161,A,HDW,34.17302,-85.19676
321 TEKNIK LLC,1099,7 SUPERIOR DR SE, , ,ROME,GA,30161,A,HDW,34.17302,-85.19676
3M COMPANY DBA 3M DIV,ORD1,3M CENTER FEDERAL SYSTEM DEPARTMENT,BLDG. 225-35-20, ,SAINT PAUL,MN,55144-1000,A,HDW,,
3M COMPANY DBA 3M DIV,ORD2,3M CENTER,BLDG 225-5S-14, ,ST PAUL,MN,55144-1000,A,HDW,,
3M COMPANY DBA 3M DIV,PMT 2,P.O. BOX 371227, , ,PITTSBURG,PA,15250-7227,A,HDW,,
3M COMPANY DBA 3M DIV,PMT1,3M    XAM3472,P.O. BOX 601095, ,CHARLOTT,NC,28260-1095,A,HDW,,
A & A SHEET METAL PRODUCT,1,5122 N State Road 39, , ,La Porte,IN,46350-8354,A,HDW,,
A&J MANUFACTURING,ORD1,70 ICON, , ,Foothill Ranch,CA,92610-3000,A,MANUF,,
A&J SUPPLY ,ORD1,10170 JEFFERSON AVE, , ,BRNEWPORT NEWSOOKLYN,VA,23607,A,MANUF,,
A&M SHIP REPAIR,ORD1,4667 hay good rd,suit 502, ,VIRGINIA BEACH,VA,23455,A,CRTCAL,,
AAEON ELECTRONICS,ORD,11 Crown Plaza, , ,Hazlet,NJ,07730,A,ELECTR,,
AAEON ELECTRONICS,ORD2,324 W. Blueridge Ave, , ,Orange ,CA,92865,A,ELECTR,,
"AAVID NIAGARA, LLC",ORD1,1 AAVID CIRCLE, , ,LACONIA,NH,03246,A,CRTCAL,,
"AAVID NIAGARA, LLC",ORD2,3315 Haseley Dr, , ,Niagara Falls,NY,14304,A,CRTCAL,,
"AAVID NIAGARA, LLC",PMT1,9102 COLLECTION CENTER DRIVE, , ,CHICAGO,IL,60693,A,CRTCAL,,
